001STAR WARS        001101
002THE GODFATHER    002102
003JAWS             003103
004ROCKY            004104
005ALIEN            005105
006TOP GUN          006106
007BATMAN           007107
008GOODFELLAS       008108
009GLADIATOR        009109
010TITANIC          010110
011INCEPTION        011111
012THE MATRIX       012112
013CASABLANCA       013113
014JURASSIC PARK    014114
015THE AVENGERS     015115
016PULP FICTION     016116
017TOY STORY        017117
018FROZEN           018118
019SKYFALL          019119
020MOANA            020120
